Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Boxford,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,
Boylston,,,,,,,22.0,1.0,,,,,,,22.0,1.0,,,22.0,1.0,,,,,,,,,,,22.0,1.0,,,,,,
Bradford,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,,,,,,,2.0,1.0,30.0,11.0,5.0,2.0,,,,,5.0,2.0,16.0,6.0,,,,,8.0,3.0,5.0,2.0,2.0,1.0,13.0,5.0,,,,,5.0,2.0
Brewster,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,10.0,1.0,,,20.0,2.0,,,,,,,,
Bridgewater,3.0,1.0,3.0,1.0,,,,,7.0,2.0,,,3.0,1.0,15.0,4.0,3.0,1.0,7.0,2.0,11.0,3.0,,,,,,,,,3.0,1.0,,,7.0,2.0,3.0,1.0
Brighton,,,,,,,4.0,2.0,4.0,2.0,,,6.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,6.0,3.0,25.0,11.0,20.0,9.0,6.0,3.0,4.0,2.0
Brockton,5.0,5.0,5.0,5.0,5.0,5.0,18.0,17.0,34.0,32.0,3.0,3.0,14.0,14.0,13.0,13.0,17.0,16.0,10.0,10.0,3.0,3.0,4.0,4.0,8.0,8.0,2.0,2.0,11.0,11.0,5.0,5.0,25.0,24.0,7.0,7.0,8.0,8.0
Brookfield,,,,,,,,,,,,,29.0,1.0,,,,,,,29.0,1.0,,,,,,,58.0,2.0,,,,,,,,
Brookline,,,,,,,,,,,,,3.0,2.0,8.0,5.0,1.0,1.0,,,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,
