Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Longmeadow,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell,,,2.0,3.0,8.0,9.0,29.0,31.0,44.0,47.0,2.0,3.0,,,6.0,7.0,4.0,5.0,1.0,2.0,,,,,8.0,9.0,2.0,3.0,,,,,0.0,1.0,,,,
Ludlow,,,,,,,,,,,,,,,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
Lunenburg,,,,,,,,,39.0,4.0,9.0,1.0,9.0,1.0,9.0,1.0,19.0,2.0,,,,,,,69.0,7.0,9.0,1.0,,,,,9.0,1.0,,,,
Lynn,2.0,2.0,1.0,1.0,8.0,8.0,3.0,3.0,33.0,30.0,12.0,11.0,6.0,6.0,23.0,21.0,16.0,15.0,6.0,6.0,,,12.0,11.0,8.0,8.0,1.0,1.0,4.0,4.0,,,3.0,3.0,1.0,1.0,6.0,6.0
Lynnfield,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malden,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,26.0,16.0,3.0,2.0,3.0,2.0,8.0,5.0,5.0,3.0,13.0,8.0,,,,,1.0,1.0,10.0,6.0,,,,,,,,,6.0,4.0
Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,
Mansfield,,,,,,,,,4.0,1.0,,,,,12.0,3.0,4.0,1.0,8.0,2.0,112.0,26.0,,,,,,,4.0,1.0,,,4.0,1.0,4.0,1.0,,
Marblehead,,,5.0,1.0,,,,,15.0,3.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,
Marlborough,,,,,,,2.0,1.0,10.0,4.0,12.0,5.0,44.0,17.0,2.0,1.0,80.0,31.0,7.0,3.0,28.0,11.0,33.0,13.0,28.0,11.0,12.0,5.0,25.0,10.0,46.0,18.0,20.0,8.0,2.0,1.0,12.0,5.0
Marshfield,3.0,1.0,,,,,,,7.0,2.0,,,3.0,1.0,3.0,1.0,3.0,1.0,11.0,3.0,,,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,35.0,9.0,7.0,2.0,,,3.0,1.0
Marstons Mills,,,,,,,,,20.0,1.0,,,,,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,
Mashpee,,,,,,,7.0,1.0,7.0,1.0,57.0,8.0,7.0,1.0,,,35.0,5.0,21.0,3.0,14.0,2.0,7.0,1.0,,,,,,,7.0,1.0,,,7.0,1.0,,
Mattapan,,,,,10.0,4.0,5.0,2.0,5.0,2.0,,,16.0,6.0,16.0,6.0,32.0,12.0,2.0,1.0,5.0,2.0,13.0,5.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,,,,
Mattapoisett,,,,,,,,,16.0,1.0,,,,,16.0,1.0,,,,,,,,,,,,,,,16.0,1.0,,,,,,
Maynard,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,
Medfield,,,,,,,,,,,,,16.0,2.0,,,,,16.0,2.0,,,16.0,2.0,,,8.0,1.0,,,49.0,6.0,,,,,,
Medford,1.0,1.0,,,1.0,1.0,,,7.0,4.0,,,3.0,2.0,1.0,1.0,5.0,3.0,,,8.0,5.0,3.0,2.0,,,7.0,4.0,1.0,1.0,7.0,4.0,,,1.0,1.0,3.0,2.0
Medway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,7.0,1.0,,
Melrose,,,,,3.0,1.0,3.0,1.0,3.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0
Mendon,,,,,,,,,,,,,,,,,17.0,1.0,,,,,,,,,,,,,17.0,1.0,,,,,,
Merrimac,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methuen,2.0,1.0,,,2.0,1.0,6.0,3.0,21.0,10.0,,,,,4.0,2.0,8.0,4.0,2.0,1.0,,,,,4.0,2.0,,,,,,,2.0,1.0,,,,
Middleborough,,,4.0,1.0,,,4.0,1.0,38.0,9.0,4.0,1.0,4.0,1.0,17.0,4.0,12.0,3.0,4.0,1.0,8.0,2.0,4.0,1.0,12.0,3.0,12.0,3.0,8.0,2.0,17.0,4.0,,,4.0,1.0,8.0,2.0
Middleton,,,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,
Milford,,,,,,,,,32.0,9.0,,,14.0,4.0,50.0,14.0,3.0,1.0,,,,,3.0,1.0,35.0,10.0,3.0,1.0,7.0,2.0,,,,,,,35.0,10.0
Millbury,,,,,,,15.0,2.0,,,,,,,15.0,2.0,7.0,1.0,7.0,1.0,7.0,1.0,,,7.0,1.0,15.0,2.0,,,,,15.0,2.0,,,7.0,1.0
Millis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,,,,
Millville,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,,,,,,,,,,,,31.0,1.0,,
Milton,,,,,,,,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,7.0,2.0,,,3.0,1.0,,,,,3.0,1.0
Monson,,,,,,,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Montague,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,,,,,,,,,,,,,,,104.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Nahant,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nantucket,,,,,,,9.0,1.0,,,9.0,1.0,,,,,9.0,1.0,9.0,1.0,,,9.0,1.0,9.0,1.0,9.0,1.0,,,,,,,,,19.0,2.0
Natick,3.0,1.0,,,,,,,,,,,3.0,1.0,,,9.0,3.0,,,,,9.0,3.0,,,3.0,1.0,3.0,1.0,,,6.0,2.0,,,,
Needham,,,,,,,,,17.0,5.0,,,,,3.0,1.0,,,10.0,3.0,,,,,,,3.0,1.0,,,,,,,3.0,1.0,10.0,3.0
Needham Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,
New Bedford,2.0,2.0,6.0,6.0,6.0,6.0,17.0,17.0,28.0,27.0,27.0,26.0,13.0,13.0,92.0,88.0,34.0,33.0,29.0,28.0,16.0,16.0,32.0,31.0,32.0,31.0,8.0,8.0,16.0,16.0,22.0,21.0,32.0,31.0,18.0,18.0,11.0,11.0
Newburyport,5.0,1.0,,,5.0,1.0,,,34.0,6.0,,,5.0,1.0,,,5.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,
Newton,,,,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0
Newton Center,,,,,,,,,25.0,1.0,,,,,,,25.0,1.0,,,25.0,1.0,,,25.0,1.0,,,,,,,,,,,,
Newton Highlands,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,
Newton Upper Falls,,,,,,,,,,,,,,,16.0,1.0,,,,,,,16.0,1.0,,,,,16.0,1.0,,,,,,,,
Newtonville,,,,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,
North Adams,,,,,,,14.0,2.0,21.0,3.0,43.0,6.0,43.0,6.0,7.0,1.0,29.0,4.0,21.0,3.0,29.0,4.0,,,7.0,1.0,,,7.0,1.0,14.0,2.0,7.0,1.0,14.0,2.0,7.0,1.0
North Andover,,,,,7.0,2.0,3.0,1.0,,,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,10.0,3.0,,,,
North Attleborough,,,,,,,10.0,3.0,13.0,4.0,,,,,,,10.0,3.0,6.0,2.0,,,6.0,2.0,3.0,1.0,6.0,2.0,,,,,3.0,1.0,,,6.0,2.0
North Billerica,,,,,,,9.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Chelmsford,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dartmouth,,,,,,,,,,,,,,,8.0,2.0,,,8.0,2.0,,,,,,,,,16.0,4.0,,,,,8.0,2.0,,
North Dighton,,,,,,,,,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Easton,,,,,,,,,,,7.0,1.0,,,7.0,1.0,7.0,1.0,,,,,,,7.0,1.0,7.0,1.0,,,,,7.0,1.0,,,,
North Falmouth,,,,,,,,,,,,,,,37.0,1.0,,,,,,,,,,,,,,,37.0,1.0,37.0,1.0,,,37.0,1.0
North Grafton,,,,,,,,,,,,,25.0,2.0,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,
North Oxford,,,,,,,,,,,,,,,,,44.0,1.0,44.0,1.0,,,,,,,,,,,,,,,,,,
North Uxbridge,,,,,,,,,,,7.0,1.0,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,
North Weymouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Northampton,,,,,3.0,1.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Northborough,,,7.0,1.0,,,,,14.0,2.0,,,7.0,1.0,,,42.0,6.0,,,,,,,,,,,7.0,1.0,,,28.0,4.0,,,,
Northbridge,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,19.0,3.0,,,,,,,,,,
Northfield,,,,,,,,,,,,,,,,,32.0,1.0,,,,,,,,,,,,,,,,,,,,
Norton,,,,,,,,,,,5.0,1.0,5.0,1.0,47.0,9.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,
Norwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,,,,,,,,
Norwood,,,3.0,1.0,,,,,87.0,25.0,3.0,1.0,6.0,2.0,,,6.0,2.0,55.0,16.0,,,,,,,,,,,,,6.0,2.0,17.0,5.0,,
Oakham,,,,,,,,,,,,,,,,,,,,,52.0,1.0,,,,,,,,,,,,,,,,
Onset,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,
Orange,,,12.0,1.0,,,12.0,1.0,,,,,12.0,1.0,12.0,1.0,12.0,1.0,25.0,2.0,,,,,,,25.0,2.0,12.0,1.0,,,,,,,,
Orleans,,,,,,,,,,,,,,,16.0,1.0,,,,,,,,,16.0,1.0,33.0,2.0,16.0,1.0,,,,,,,,
Osterville,28.0,1.0,,,,,,,,,,,,,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Oxford,,,,,,,,,,,,,7.0,1.0,14.0,2.0,43.0,6.0,7.0,1.0,43.0,6.0,36.0,5.0,,,7.0,1.0,7.0,1.0,,,21.0,3.0,,,,
Palmer,,,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,
Paxton,,,,,,,,,,,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Peabody,,,,,1.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,15.0,8.0,5.0,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
Pembroke,5.0,1.0,,,,,,,5.0,1.0,5.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,11.0,2.0
Pepperell,,,,,,,,,,,,,,,,,8.0,1.0,,,8.0,1.0,17.0,2.0,,,,,,,,,8.0,1.0,,,,
Pittsfield,4.0,2.0,4.0,2.0,,,26.0,12.0,37.0,17.0,2.0,1.0,20.0,9.0,29.0,13.0,2.0,1.0,8.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,,,,,37.0,17.0,2.0,1.0,8.0,4.0,4.0,2.0
Plainville,,,,,,,,,12.0,1.0,,,,,,,,,24.0,2.0,,,,,,,,,,,,,24.0,2.0,,,,
Plymouth,,,3.0,2.0,1.0,1.0,,,3.0,2.0,1.0,1.0,3.0,2.0,24.0,14.0,8.0,5.0,1.0,1.0,1.0,1.0,,,5.0,3.0,3.0,2.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,,
Pocasset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,
Princeton,,,,,,,,,,,,,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown,,,33.0,1.0,33.0,1.0,,,,,33.0,1.0,,,33.0,1.0,,,,,,,,,33.0,1.0,,,,,,,,,,,,
Quincy,,,,,2.0,2.0,7.0,7.0,4.0,4.0,5.0,5.0,1.0,1.0,9.0,9.0,6.0,6.0,19.0,18.0,5.0,5.0,3.0,3.0,10.0,10.0,8.0,8.0,2.0,2.0,2.0,2.0,7.0,7.0,8.0,8.0,7.0,7.0
Randolph,,,3.0,1.0,,,,,6.0,2.0,,,3.0,1.0,,,24.0,8.0,34.0,11.0,,,,,,,,,,,,,6.0,2.0,6.0,2.0,62.0,20.0
Raynham,,,,,,,,,7.0,1.0,7.0,1.0,,,,,7.0,1.0,7.0,1.0,,,,,,,14.0,2.0,,,14.0,2.0,,,,,7.0,1.0
Reading,,,,,,,4.0,1.0,4.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,
Rehoboth,,,,,8.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,,
Revere,,,,,3.0,2.0,5.0,3.0,3.0,2.0,15.0,8.0,17.0,9.0,21.0,11.0,11.0,6.0,9.0,5.0,7.0,4.0,5.0,3.0,,,5.0,3.0,11.0,6.0,13.0,7.0,7.0,4.0,15.0,8.0,9.0,5.0
Richmond,,,,,,,,,,,,,,,,,,,67.0,1.0,,,,,,,,,,,,,,,,,,
Rochdale,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Rockland,,,,,,,11.0,2.0,22.0,4.0,5.0,1.0,,,,,74.0,13.0,17.0,3.0,,,,,,,11.0,2.0,,,,,17.0,3.0,28.0,5.0,,
Rockport,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,,,,,,
Roslindale,,,3.0,1.0,,,,,3.0,1.0,,,,,6.0,2.0,3.0,1.0,3.0,1.0,,,,,,,3.0,1.0,,,24.0,7.0,3.0,1.0,3.0,1.0,3.0,1.0
Rowe,,,,,254.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxbury,,,,,1.0,1.0,3.0,2.0,6.0,4.0,1.0,1.0,10.0,6.0,5.0,3.0,6.0,4.0,1.0,1.0,8.0,5.0,,,5.0,3.0,1.0,1.0,5.0,3.0,,,1.0,1.0,,,1.0,1.0
Roxbury Crossing,,,,,,,,,3.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
Russell,,,,,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Rutland,,,,,,,,,12.0,1.0,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,
Sagamore Beach,,,,,,,,,,,,,,,27.0,1.0,,,,,,,,,,,27.0,1.0,,,,,,,,,27.0,1.0
Salem,,,7.0,3.0,2.0,1.0,7.0,3.0,29.0,12.0,7.0,3.0,,,14.0,6.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0
Salisbury,,,,,,,12.0,1.0,,,,,48.0,4.0,12.0,1.0,,,12.0,1.0,,,,,,,,,,,,,,,,,,
Sandwich,,,,,,,14.0,3.0,19.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
Saugus,,,,,,,,,,,15.0,4.0,,,,,22.0,6.0,,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,
Savoy,,,,,,,,,,,,,,,,,144.0,1.0,,,,,,,,,,,,,,,,,,,,
Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,,,5.0,1.0
Seekonk,,,,,,,,,,,,,,,58.0,8.0,7.0,1.0,,,,,,,7.0,1.0,7.0,1.0,,,,,,,,,,
Sharon,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelburne Falls,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherborn,,,48.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,13.0,1.0,,,,,41.0,3.0,,,13.0,1.0,,,,,,,,,,,,,,,,,13.0,1.0,,,,,,,,
Shrewsbury,,,,,,,2.0,1.0,2.0,1.0,,,2.0,1.0,11.0,4.0,5.0,2.0,2.0,1.0,,,,,2.0,1.0,19.0,7.0,,,2.0,1.0,5.0,2.0,2.0,1.0,,
Shutesbury,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,5.0,1.0,5.0,1.0,,,,,,,,,,
Somerville,2.0,2.0,,,,,3.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,18.0,14.0,5.0,4.0,25.0,19.0,5.0,4.0,,,1.0,1.0,9.0,7.0,1.0,1.0,5.0,4.0,11.0,9.0,7.0,6.0,3.0,3.0
South Barre,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,,,,,,,,,
South Boston,2.0,1.0,,,,,2.0,1.0,,,,,,,,,2.0,1.0,,,8.0,3.0,2.0,1.0,,,,,,,,,2.0,1.0,,,,
South Dartmouth,,,,,,,,,,,,,,,5.0,2.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,
South Deerfield,,,,,,,,,,,,,,,,,,,,,,,,,48.0,1.0,,,,,,,,,,,,
South Dennis,,,,,,,,,27.0,1.0,,,27.0,1.0,,,,,,,,,,,27.0,1.0,,,,,,,,,,,,
South Easton,,,,,,,,,,,9.0,1.0,,,,,39.0,4.0,,,,,9.0,1.0,,,,,,,,,9.0,1.0,,,,
South Grafton,,,,,,,,,,,22.0,1.0,,,,,22.0,1.0,,,,,,,,,,,,,,,,,,,,
South Hadley,,,,,5.0,1.0,,,22.0,4.0,5.0,1.0,11.0,2.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
South Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,1.0,,,,,,,,
South Weymouth,,,,,,,,,3.0,2.0,1.0,1.0,9.0,5.0,,,,,,,5.0,3.0,,,,,,,,,,,,,1.0,1.0,,
South Yarmouth,,,,,,,,,51.0,6.0,,,,,,,25.0,3.0,,,,,,,,,,,,,,,,,,,8.0,1.0
Southborough,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,
Southbridge,11.0,2.0,5.0,1.0,,,11.0,2.0,35.0,6.0,11.0,2.0,17.0,3.0,41.0,7.0,65.0,11.0,11.0,2.0,17.0,3.0,5.0,1.0,29.0,5.0,11.0,2.0,11.0,2.0,5.0,1.0,,,23.0,4.0,,
Southwick,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,,,,,,,,,,,17.0,2.0,,,25.0,3.0,,,,,,,17.0,2.0,,,8.0,1.0,17.0,2.0,,,,,,,,
Springfield,1.0,2.0,0.0,1.0,3.0,6.0,13.0,20.0,18.0,28.0,1.0,2.0,11.0,18.0,21.0,33.0,24.0,37.0,16.0,26.0,1.0,2.0,,,,,1.0,2.0,,,1.0,2.0,2.0,4.0,,,0.0,1.0
Stoneham,,,4.0,1.0,,,4.0,1.0,,,4.0,1.0,,,18.0,4.0,4.0,1.0,4.0,1.0,,,,,,,,,,,4.0,1.0,,,4.0,1.0,,
Stoughton,,,,,,,,,,,7.0,2.0,25.0,7.0,14.0,4.0,25.0,7.0,,,,,,,3.0,1.0,,,3.0,1.0,,,7.0,2.0,,,14.0,4.0
Stow,,,,,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Sturbridge,,,,,,,,,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudbury,,,,,,,,,,,,,,,,,28.0,5.0,,,,,,,5.0,1.0,,,,,28.0,5.0,5.0,1.0,,,,
Swampscott,,,,,,,,,,,7.0,1.0,7.0,1.0,14.0,2.0,7.0,1.0,,,7.0,1.0,,,,,,,,,,,,,,,,
Swansea,,,,,,,,,6.0,1.0,,,6.0,1.0,6.0,1.0,,,,,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,
Taunton,,,1.0,1.0,1.0,1.0,7.0,4.0,10.0,6.0,7.0,4.0,,,10.0,6.0,5.0,3.0,8.0,5.0,8.0,5.0,21.0,12.0,17.0,10.0,8.0,5.0,3.0,2.0,21.0,12.0,5.0,3.0,3.0,2.0,1.0,1.0
Templeton,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tewksbury,,,3.0,1.0,,,,,24.0,7.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
Three Rivers,,,,,,,,,34.0,1.0,,,,,,,34.0,1.0,,,,,,,,,,,,,,,,,,,,
Topsfield,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Townsend,,,,,,,44.0,4.0,11.0,1.0,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Turners Falls,,,,,,,,,24.0,1.0,,,,,73.0,3.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,
Tyngsborough,,,,,,,8.0,1.0,,,,,,,8.0,1.0,,,8.0,1.0,,,,,,,,,,,,,,,,,,
Upton,,,13.0,1.0,,,,,13.0,1.0,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Uxbridge,,,,,,,,,7.0,1.0,7.0,1.0,7.0,1.0,14.0,2.0,7.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,
Vineyard Haven,52.0,1.0,,,,,,,,,,,,,,,,,,,,,52.0,1.0,,,,,,,,,,,,,,
Wakefield,,,,,8.0,2.0,,,,,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0
Walpole,,,,,4.0,1.0,,,12.0,3.0,,,16.0,4.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,
Waltham,,,,,,,6.0,4.0,6.0,4.0,,,,,,,,,1.0,1.0,,,,,,,4.0,3.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0
Ware,,,,,10.0,1.0,,,30.0,3.0,10.0,1.0,10.0,1.0,10.0,1.0,,,20.0,2.0,,,10.0,1.0,,,,,,,,,,,,,,
Wareham,,,,,,,,,4.0,1.0,,,4.0,1.0,,,4.0,1.0,4.0,1.0,,,,,18.0,4.0,18.0,4.0,,,,,4.0,1.0,4.0,1.0,4.0,1.0
Warren,,,,,,,,,,,,,,,,,77.0,4.0,,,,,,,,,,,,,,,,,,,,
Watertown,,,,,,,,,,,3.0,1.0,3.0,1.0,,,,,12.0,4.0,,,,,,,6.0,2.0,,,3.0,1.0,,,,,,
Wayland,,,,,7.0,1.0,,,,,,,,,7.0,1.0,,,,,,,,,,,7.0,1.0,,,7.0,1.0,,,,,,
Webster,,,5.0,1.0,,,17.0,3.0,17.0,3.0,41.0,7.0,23.0,4.0,29.0,5.0,23.0,4.0,35.0,6.0,5.0,1.0,35.0,6.0,11.0,2.0,11.0,2.0,,,5.0,1.0,,,,,,
Wellesley Hills,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellfleet,,,,,,,,,,,,,,,,,,,36.0,1.0,,,,,,,36.0,1.0,,,,,,,,,,
West Boylston,,,,,,,,,,,,,13.0,1.0,,,13.0,1.0,13.0,1.0,13.0,1.0,,,,,13.0,1.0,,,,,,,,,,
West Brookfield,,,,,,,,,27.0,1.0,,,,,,,,,,,27.0,1.0,27.0,1.0,,,,,,,,,,,,,,
West Chatham,,,,,,,,,78.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dennis,,,,,,,,,,,,,,,45.0,1.0,,,,,,,,,,,45.0,1.0,,,,,,,,,,
West Harwich,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,
West Newton,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,7.0,1.0,,,,,,,,,,,,
West Roxbury,,,,,,,3.0,1.0,6.0,2.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,6.0,2.0,,
West Springfield,,,,,,,14.0,4.0,31.0,9.0,3.0,1.0,14.0,4.0,24.0,7.0,10.0,3.0,17.0,5.0,,,,,,,,,,,,,,,,,,
West Stockbridge,,,,,,,,,,,,,,,,,,,153.0,2.0,,,,,76.0,1.0,,,,,,,,,,,,
West Tisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,,,,,,,,,,
West Wareham,,,,,,,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Warren,,,,,,,,,,,,,,,,,,,,,,,88.0,1.0,,,,,,,,,,,,,,
West Yarmouth,,,,,37.0,2.0,37.0,2.0,,,18.0,1.0,,,37.0,2.0,,,18.0,1.0,,,,,,,,,,,18.0,1.0,,,18.0,1.0,,
Westborough,,,,,,,54.0,10.0,,,38.0,7.0,21.0,4.0,,,,,38.0,7.0,5.0,1.0,5.0,1.0,10.0,2.0,5.0,1.0,21.0,4.0,5.0,1.0,10.0,2.0,,,,
Westfield,,,,,2.0,1.0,4.0,2.0,7.0,3.0,,,4.0,2.0,4.0,2.0,,,9.0,4.0,,,,,,,,,2.0,1.0,,,,,,,,
Westford,,,,,,,,,13.0,3.0,,,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,4.0,1.0,,,,
Westport,,,,,,,6.0,1.0,,,6.0,1.0,,,12.0,2.0,,,,,,,,,6.0,1.0,,,,,,,12.0,2.0,,,6.0,1.0
Westwood,,,,,,,,,20.0,3.0,,,6.0,1.0,,,,,27.0,4.0,,,,,,,,,,,,,6.0,1.0,,,,
Weymouth,,,,,,,,,24.0,13.0,7.0,4.0,9.0,5.0,,,,,5.0,3.0,,,,,,,7.0,4.0,,,5.0,3.0,,,,,1.0,1.0
Whitinsville,,,14.0,1.0,,,14.0,1.0,,,,,,,28.0,2.0,14.0,1.0,14.0,1.0,,,72.0,5.0,14.0,1.0,28.0,2.0,14.0,1.0,,,,,,,,
Whitman,,,,,6.0,1.0,6.0,1.0,27.0,4.0,,,34.0,5.0,,,,,41.0,6.0,,,6.0,1.0,,,,,,,,,,,13.0,2.0,,
Williamsburg,,,,,,,,,,,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamstown,,,,,,,,,12.0,1.0,,,,,12.0,1.0,,,12.0,1.0,,,,,,,,,,,,,,,,,,
Wilmington,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,
