Tenant ID,Check Date,Actual Individual Payment,Unit ZIP
T86966,12/1/2020,"($1,135.50)",1475
T86966,12/1/2020,"($1,135.00)",1475
T86373,12/3/2020,"$3,949.00 ",2188
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,$600.00 ,2746
T83818,12/3/2020,"$1,800.00 ",2746
T85620,12/3/2020,"$2,186.00 ",2780
900030077,12/3/2020,"$4,000.00 ",2301
T86406,12/3/2020,"$1,169.00 ",2601
T86868,12/3/2020,"$2,050.00 ",2645
T87048,12/4/2020,$800.00 ,1085
T85733,12/4/2020,$961.47 ,1057
T87410,12/4/2020,"$3,650.00 ",1089
T86790,12/4/2020,"$4,000.00 ",1104
T85506,12/4/2020,$800.00 ,1013
T87179,12/4/2020,"$1,250.00 ",1129
T85756,12/4/2020,"$1,599.00 ",1103
T86704,12/5/2020,"$4,000.00 ",1760
T87155,12/8/2020,"$4,000.00 ",2119
T87156,12/8/2020,"$3,475.00 ",2120
T87157,12/8/2020,$750.00 ,2150
T87157,12/8/2020,"$1,500.00 ",2150
T86718,12/9/2020,"$4,000.00 ",1960
T86402,12/9/2020,"$4,000.00 ",1960
1000008502,12/9/2020,"$1,430.00 ",1938
T85575,12/9/2020,"$4,000.00 ",1923
T82426,12/9/2020,"$4,000.00 ",1905
T82740,12/9/2020,$435.00 ,1906
T87006,12/10/2020,"$1,399.00 ",1085
T87006,12/10/2020,"$1,399.00 ",1085
T87086,12/10/2020,"$3,950.00 ",1089
1500023484,12/10/2020,"$2,800.00 ",1020
1500023484,12/10/2020,"$1,200.00 ",1020
T86066,12/10/2020,"$3,440.00 ",1089
T86391,12/10/2020,$950.00 ,1089
T86391,12/10/2020,$762.50 ,1089
600196359,12/10/2020,"$4,000.00 ",2368
T86504,12/10/2020,"$4,000.00 ",2364
T87377,12/10/2020,"$1,050.00 ",2721
T87220,12/10/2020,"$4,000.00 ",2302
T61726,12/11/2020,"$4,000.00 ",1510
T86936,12/14/2020,"$4,000.00 ",2536
T76604,12/14/2020,"$1,300.00 ",1950
200033883,12/14/2020,"$3,900.00 ",1843
T87707,12/15/2020,"$4,000.00 ",2169
T87575,12/15/2020,"$1,654.00 ",2127
600227356,12/15/2020,"$3,785.00 ",2121
T87892,12/15/2020,"$4,000.00 ",2119
T83939,12/15/2020,"$1,430.00 ",1230
T83939,12/15/2020,$980.00 ,1230
900037010,12/16/2020,"$2,895.00 ",2723
T87364,12/16/2020,"$3,800.00 ",2301
T86950,12/16/2020,"$4,000.00 ",2301
T87448,12/16/2020,"$1,845.50 ",2360
T86297,12/16/2020,"$4,000.00 ",2301
T87890,12/16/2020,"$4,000.00 ",2301
T87719,12/16/2020,"$2,173.00 ",2190
T87730,12/16/2020,"$4,000.00 ",2188
T87997,12/16/2020,"$3,575.00 ",1432
T55852,12/16/2020,"$3,426.00 ",1608
T87061,12/18/2020,"$4,000.00 ",1752
T87067,12/18/2020,"$2,009.03 ",2062
T87942,12/18/2020,"$1,758.04 ",2601
T87091,12/18/2020,"$2,800.00 ",2646
T88132,12/18/2020,"$2,905.00 ",1440
T82690,12/18/2020,"$1,128.44 ",1570
T60157,12/18/2020,"$3,093.54 ",1420
T60157,12/18/2020,"($3,093.54)",1420
T88227,12/21/2020,"$3,324.00 ",1109
T86844,12/21/2020,$876.53 ,1118
T86844,12/21/2020,$903.51 ,1118
500114642,12/21/2020,"$4,000.00 ",1118
T83650,12/21/2020,"$2,701.00 ",1085
T83650,12/21/2020,"$1,167.00 ",1085
T86437,12/21/2020,"$4,000.00 ",1040
T88306,12/22/2020,"$3,550.00 ",2151
T88307,12/22/2020,"$3,600.00 ",2151
T88305,12/22/2020,"$1,858.00 ",2128
T88304,12/22/2020,"$4,000.00 ",2124
600220788,12/22/2020,"$3,733.00 ",2129
T88435,12/22/2020,"$4,000.00 ",2136
T87545,12/23/2020,"$4,000.00 ",2048
T87351,12/23/2020,"$2,538.32 ",2664
1500023424,12/24/2020,"$4,000.00 ",1902
T87396,12/24/2020,"$1,998.00 ",1904
T81030,12/29/2020,"$4,000.00 ",2673
T87934,12/29/2020,"$1,705.00 ",1830
T88379,12/29/2020,$950.00 ,1854
1200023769,12/29/2020,"$3,900.00 ",1851
T57035,12/29/2020,"$4,000.00 ",1852
T88634,12/29/2020,"$1,511.00 ",1852
1500023279,12/29/2020,"$3,725.00 ",1835
T88085,12/29/2020,"$3,150.00 ",1854
1200023769,12/29/2020,"($3,900.00)",1851
T86355,12/31/2020,($503.09),1109
T87433,1/1/2021,$910.29 ,1201
T87433,1/1/2021,$910.29 ,1201
T83939,1/1/2021,$980.00 ,1230
T82644,1/1/2021,"$4,000.00 ",1201
100026338,1/1/2021,"$3,144.17 ",1201
T83798,1/1/2021,"$4,000.00 ",1201
T88584,1/1/2021,"$4,000.00 ",2347
900037010,1/1/2021,$550.00 ,2723
T86734,1/1/2021,"$4,000.00 ",2375
T88785,1/1/2021,"$4,000.00 ",2301
T88404,1/1/2021,"$2,600.00 ",2301
T88404,1/1/2021,$700.00 ,2301
T88056,1/1/2021,"$4,000.00 ",2346
T87719,1/1/2021,$504.00 ,2190
900028799,1/1/2021,"$2,900.00 ",2740
T88679,1/1/2021,"$4,000.00 ",2121
T88705,1/1/2021,"$4,000.00 ",2138
T88813,1/1/2021,"$4,000.00 ",2151
T83341,1/1/2021,$750.00 ,2561
T87942,1/1/2021,$250.00 ,2601
T85678,1/1/2021,$300.00 ,2601
T88616,1/1/2021,"$1,270.00 ",1301
T88616,1/1/2021,$635.00 ,1301
T86959,1/1/2021,"$4,000.00 ",1604
T86966,1/1/2021,"$1,135.00 ",1475
T88132,1/1/2021,$505.00 ,1440
T87396,1/1/2021,"$1,998.00 ",1904
T88705,1/1/2021,"($4,000.00)",2138
T88087,1/5/2021,"$4,000.00 ",2021
T87928,1/5/2021,"$4,000.00 ",1760
T87693,1/5/2021,"$4,000.00 ",2062
600140863,1/5/2021,"$2,204.00 ",2494
T87865,1/5/2021,"$4,000.00 ",2062
900031894,1/7/2021,"$2,632.00 ",2301
900031894,1/7/2021,$456.00 ,2301
T88998,1/7/2021,"$1,060.00 ",2744
T88997,1/7/2021,"$3,936.89 ",2720
T88009,1/7/2021,"$4,000.00 ",2351
T88077,1/7/2021,"$4,000.00 ",2370
T88944,1/7/2021,"$2,470.00 ",2760
T88944,1/7/2021,$154.00 ,2760
T88165,1/7/2021,"$4,000.00 ",2346
T88811,1/7/2021,"$2,779.00 ",2744
T88221,1/7/2021,"$4,000.00 ",2368
T88832,1/7/2021,"$4,000.00 ",2188
T88970,1/7/2021,"$4,000.00 ",2740
T88855,1/7/2021,"$3,700.00 ",2346
T88091,1/7/2021,"$4,000.00 ",2346
T88281,1/7/2021,"$3,300.00 ",2301
T88851,1/7/2021,"$3,800.00 ",2571
T89158,1/7/2021,$800.00 ,2740
900036105,1/7/2021,"$1,550.00 ",2721
900036105,1/7/2021,$679.00 ,2721
T88572,1/7/2021,"$4,000.00 ",2360
T89039,1/7/2021,"$4,000.00 ",2301
T89038,1/7/2021,"$4,000.00 ",2189
T89007,1/7/2021,"$2,840.00 ",2723
T89007,1/7/2021,$313.00 ,2723
T89007,1/7/2021,$313.00 ,2723
T89127,1/7/2021,"$2,200.00 ",2726
T89127,1/7/2021,"$1,800.00 ",2726
T88082,1/7/2021,"$4,000.00 ",2382
T87075,1/7/2021,"$4,000.00 ",2324
T88751,1/7/2021,"$4,000.00 ",2382
T87048,1/7/2021,$800.00 ,1085
T86844,1/7/2021,$903.51 ,1118
T86998,1/7/2021,"$4,000.00 ",1085
T87179,1/7/2021,"$1,125.00 ",1129
T86391,1/7/2021,$762.50 ,1089
600116218,1/8/2021,"$1,975.00 ",2184
600118891,1/8/2021,"$4,000.00 ",2136
T89063,1/8/2021,"$3,640.00 ",2135
T89277,1/8/2021,"$1,578.00 ",2126
T89197,1/8/2021,"$4,000.00 ",2458
T89016,1/8/2021,"$4,000.00 ",2124
T89120,1/8/2021,"$4,000.00 ",2155
T89178,1/8/2021,"$4,000.00 ",2136
T89013,1/8/2021,"$3,554.00 ",1730
T89022,1/8/2021,"$4,000.00 ",2119
T89179,1/8/2021,"$4,000.00 ",2131
T89020,1/8/2021,"$4,000.00 ",2136
T89017,1/8/2021,"$4,000.00 ",2169
T88936,1/8/2021,"$4,000.00 ",2136
T89221,1/8/2021,"$4,000.00 ",1864
T89023,1/8/2021,"$4,000.00 ",2144
T89182,1/8/2021,"$4,000.00 ",2184
T89246,1/8/2021,"$4,000.00 ",2148
T88936,1/8/2021,"($4,000.00)",2136
T86374,1/14/2021,"$4,000.00 ",1109
T89155,1/14/2021,"$4,000.00 ",1108
T89523,1/14/2021,$597.21 ,1105
T88057,1/14/2021,"$4,000.00 ",1036
T89129,1/14/2021,"$4,000.00 ",2382
T89258,1/14/2021,"$4,000.00 ",2302
T89262,1/14/2021,"$3,200.00 ",2746
T89262,1/14/2021,$400.00 ,2746
1500025877,1/14/2021,"$4,000.00 ",2301
900029410,1/14/2021,"$4,000.00 ",2050
T89409,1/14/2021,"$3,974.22 ",2048
T89371,1/14/2021,"$2,975.67 ",2721
T89401,1/14/2021,"$4,000.00 ",2721
900021114,1/14/2021,"$4,000.00 ",2382
T88560,1/14/2021,"$4,000.00 ",2368
1200023769,1/14/2021,"$3,900.00 ",1851
T88103,1/14/2021,"$4,000.00 ",1841
T88532,1/14/2021,"$4,000.00 ",2575
T89446,1/14/2021,"$4,000.00 ",2601
T88663,1/14/2021,"$4,000.00 ",2632
T88174,1/14/2021,"$10,000.00 ",2639
T89645,1/14/2021,"$2,000.00 ",2664
87090,1/15/2021,"$1,982.00 ",1610
T89378,1/15/2021,"$1,450.00 ",1510
T88290,1/15/2021,"$1,395.81 ",1610
T89087,1/15/2021,"$4,000.00 ",1532
T54273,1/15/2021,"$4,000.00 ",1602
T89864,1/15/2021,"$2,070.00 ",2136
T89535,1/15/2021,"$9,614.00 ",1887
T89545,1/15/2021,"$2,705.00 ",2151
T89425,1/15/2021,"$2,350.00 ",2169
T89686,1/15/2021,"$4,000.00 ",2169
T89430,1/15/2021,"$4,000.00 ",2452
T89427,1/15/2021,"$4,000.00 ",2155
T89463,1/15/2021,"$4,000.00 ",2151
T89462,1/15/2021,"$4,000.00 ",2150
T89424,1/15/2021,"$4,000.00 ",2124
T89413,1/15/2021,"$6,150.00 ",2118
T89798,1/15/2021,"$10,000.00 ",2122
T89436,1/15/2021,"$4,000.00 ",2453
T89220,1/15/2021,"$3,283.00 ",1420
T89798,1/15/2021,"($10,000.00)",2122
T88670,1/18/2021,"$4,000.00 ",1749
T88913,1/18/2021,"$2,720.00 ",2035
T89110,1/18/2021,"$4,000.00 ",2026
T89666,1/20/2021,$925.00 ,1075
T89666,1/20/2021,$925.00 ,1075
T89921,1/20/2021,"$2,300.00 ",1103
T89921,1/20/2021,$900.00 ,1103
T89921,1/20/2021,$900.00 ,1103
T89797,1/20/2021,"$1,747.80 ",1129
T89797,1/20/2021,$450.00 ,1129
T88664,1/20/2021,$600.00 ,1089
T89923,1/20/2021,"$4,000.00 ",1109
T89921,1/20/2021,"($2,300.00)",1103
T89921,1/20/2021,($900.00),1103
T89921,1/20/2021,($900.00),1103
T72914,1/21/2021,"$3,450.58 ",2780
T89216,1/21/2021,"$10,000.00 ",2719
T89938,1/21/2021,$200.00 ,2025
T89938,1/21/2021,$161.26 ,2025
T89841,1/21/2021,"$5,000.00 ",2740
T88231,1/21/2021,"$2,121.06 ",2382
T88231,1/21/2021,$800.00 ,2382
T86766,1/21/2021,"$6,800.00 ",2744
900034418,1/21/2021,"$3,100.00 ",2746
T87994,1/21/2021,"$8,075.00 ",2664
T90102,1/22/2021,"$4,000.00 ",2151
T90469,1/22/2021,"$5,100.00 ",2119
600084702,1/22/2021,$927.00 ,2139
T90101,1/22/2021,"$3,685.00 ",2155
T90101,1/22/2021,"$1,840.00 ",2155
T90419,1/22/2021,"$2,097.00 ",2118
T83227,1/22/2021,"$4,571.66 ",2120
T81443,1/22/2021,"$4,000.00 ",2129
t90241,1/22/2021,"$10,000.00 ",2155
T90443,1/22/2021,"$2,358.50 ",2138
T88881,1/22/2021,"$5,000.00 ",2155
T90052,1/22/2021,"$5,750.00 ",2136
T89992,1/22/2021,"$4,000.00 ",2130
T90377,1/22/2021,"$4,098.00 ",2131
T90472,1/22/2021,"$4,000.00 ",2148
T89930,1/22/2021,"$4,570.00 ",2118
T90300,1/22/2021,"$3,097.94 ",2128
T90299,1/22/2021,"$2,579.76 ",2151
T90299,1/22/2021,"$1,420.24 ",2151
T89866,1/22/2021,"$7,850.00 ",2135
T89991,1/22/2021,"$4,000.00 ",2122
1000006343,1/22/2021,"$4,000.00 ",1902
T87662,1/22/2021,"$4,000.00 ",1923
T87665,1/22/2021,"$4,000.00 ",1906
T87846,1/22/2021,"$4,000.00 ",1905
T87837,1/22/2021,"$4,000.00 ",1902
